--- Quran Word Frequency Analysis ---
Source: d:\Corporate Identity\Branding Assets\quran\quran_universal.parquet
Total Words Count: 82,456
Unique Words Count: 15,776

Top Frequent Words:
Rank   | Word                 | Count      | Frequency 
3604   | انعمنا               | 3          | 0.0036%
3605   | لبعضۢ                | 3          | 0.0036%
3606   | فابي                 | 3          | 0.0036%
3607   | تنزيلۭا              | 3          | 0.0036%
3608   | فرارۭا               | 3          | 0.0036%
3609   | كلبهم                | 3          | 0.0036%
3610   | نسيت                 | 3          | 0.0036%
3611   | تريد                 | 3          | 0.0036%
3612   | امرهۥ                | 3          | 0.0036%
3613   | كالمهل               | 3          | 0.0036%
3614   | واضرب                | 3          | 0.0036%
3615   | زرعۭا                | 3          | 0.0036%
3616   | تظلم                 | 3          | 0.0036%
3617   | وفجرنا               | 3          | 0.0036%
3618   | اظن                  | 3          | 0.0036%
3619   | ووضع                 | 3          | 0.0036%
3620   | مشفقين               | 3          | 0.0036%
3621   | الحوت                | 3          | 0.0036%
3622   | ستجدني               | 3          | 0.0036%
3623   | فانطلقا              | 3          | 0.0036%
3624   | السفينه              | 3          | 0.0036%
3625   | نكرۭا                | 3          | 0.0036%
3626   | القرنين              | 3          | 0.0036%
3627   | ذكرا                 | 3          | 0.0036%
3628   | سببا                 | 3          | 0.0036%
3629   | ووجد                 | 3          | 0.0036%
3630   | سدۭا                 | 3          | 0.0036%
3631   | الحديد               | 3          | 0.0036%
3632   | العظم                | 3          | 0.0036%
3633   | شقيۭا                | 3          | 0.0036%
3634   | سويۭا                | 3          | 0.0036%
3635   | فخرج                 | 3          | 0.0036%
3636   | تقيۭا                | 3          | 0.0036%
3637   | وسلم                 | 3          | 0.0036%
3638   | ولد                  | 3          | 0.0036%
3639   | روحنا                | 3          | 0.0036%
3640   | مت                   | 3          | 0.0036%
3641   | امك                  | 3          | 0.0036%
3642   | بالصلوه              | 3          | 0.0036%
3643   | والينا               | 3          | 0.0036%
3644   | تعبد                 | 3          | 0.0036%
3645   | جاءني                | 3          | 0.0036%
3646   | يمسك                 | 3          | 0.0036%
3647   | تنته                 | 3          | 0.0036%
3648   | واصطبر               | 3          | 0.0036%
3649   | قرن                  | 3          | 0.0036%
3650   | تكاد                 | 3          | 0.0036%
3651   | وهل                  | 3          | 0.0036%
3652   | ءانست                | 3          | 0.0036%
3653   | بالواد               | 3          | 0.0036%
3654   | لذكري                | 3          | 0.0036%
3655   | تسعي                 | 3          | 0.0036%
3656   | ادلكم                | 3          | 0.0036%
3657   | تقر                  | 3          | 0.0036%
3658   | فقولا                | 3          | 0.0036%
3659   | لعلهۥ                | 3          | 0.0036%
3660   | مهدۭا                | 3          | 0.0036%
3661   | خاب                  | 3          | 0.0036%
3662   | يمينك                | 3          | 0.0036%
3663   | بعبادي               | 3          | 0.0036%
3664   | ولكنا                | 3          | 0.0036%
3665   | يحمل                 | 3          | 0.0036%
3666   | امثلهم               | 3          | 0.0036%
3667   | تنفع                 | 3          | 0.0036%
3668   | شجره                 | 3          | 0.0036%
3669   | الصحف                | 3          | 0.0036%
3670   | فستعلمون             | 3          | 0.0036%
3671   | ذكرۢ                 | 3          | 0.0036%
3672   | ظالمهۭ               | 3          | 0.0036%
3673   | فسبحن                | 3          | 0.0036%
3674   | فاعبدون              | 3          | 0.0036%
3675   | مكرمون               | 3          | 0.0036%
3676   | ارتضي                | 3          | 0.0036%
3677   | فذلك                 | 3          | 0.0036%
3678   | وءاباءهم             | 3          | 0.0036%
3679   | اتينا                | 3          | 0.0036%
3680   | يقال                 | 3          | 0.0036%
3681   | الكرب                | 3          | 0.0036%
3682   | ومثلهم               | 3          | 0.0036%
3683   | وذا                  | 3          | 0.0036%
3684   | الورثين              | 3          | 0.0036%
3685   | وجعلنها              | 3          | 0.0036%
3686   | البعث                | 3          | 0.0036%
3687   | نذقه                 | 3          | 0.0036%
3688   | تشرك                 | 3          | 0.0036%
3689   | جعلنها               | 3          | 0.0036%
3690   | نصرهم                | 3          | 0.0036%
3691   | لقوي                 | 3          | 0.0036%
3692   | يكذبوك               | 3          | 0.0036%
3693   | وعادۭ                | 3          | 0.0036%
3694   | تمني                 | 3          | 0.0036%
3695   | ليكون                | 3          | 0.0036%
3696   | خلقا                 | 3          | 0.0036%
3697   | لقدرون               | 3          | 0.0036%
3698   | انصرني               | 3          | 0.0036%
3699   | انشانا               | 3          | 0.0036%
3700   | وقلوبهم              | 3          | 0.0036%
3701   | ينطق                 | 3          | 0.0036%
3702   | وءاباؤنا             | 3          | 0.0036%
3703   | ورائهم               | 3          | 0.0036%
3704   | نفخ                  | 3          | 0.0036%
3705   | الكريم               | 3          | 0.0036%
3706   | يدع                  | 3          | 0.0036%
3707   | يرمون                | 3          | 0.0036%
3708   | غضب                  | 3          | 0.0036%
3709   | افكۭ                 | 3          | 0.0036%
3710   | زينتهن               | 3          | 0.0036%
3711   | مبينتۢ               | 3          | 0.0036%
3712   | كانها                | 3          | 0.0036%
3713   | موجۭ                 | 3          | 0.0036%
3714   | صلوه                 | 3          | 0.0036%
3715   | يضعن                 | 3          | 0.0036%
3716   | عبدهۦ                | 3          | 0.0036%
3717   | نشورۭا               | 3          | 0.0036%
3718   | فجعلنه               | 3          | 0.0036%
3719   | مستقرۭا              | 3          | 0.0036%
3720   | اتخذت                | 3          | 0.0036%
3721   | وثمودا۟              | 3          | 0.0036%
3722   | ضربنا                | 3          | 0.0036%
3723   | الظل                 | 3          | 0.0036%
3724   | فجعلهۥ               | 3          | 0.0036%
3725   | مروا۟                | 3          | 0.0036%
3726   | نشا                  | 3          | 0.0036%
3727   | اعنقهم               | 3          | 0.0036%
3728   | سيهدين               | 3          | 0.0036%
3729   | بقلبۢ                | 3          | 0.0036%
3730   | ونجني                | 3          | 0.0036%
3731   | المشحون              | 3          | 0.0036%
3732   | بمعذبين              | 3          | 0.0036%
3733   | وتذرون               | 3          | 0.0036%
3734   | الامين               | 3          | 0.0036%
3735   | يستعجلون             | 3          | 0.0036%
3736   | يوزعون               | 3          | 0.0036%
3737   | ءاتيك                | 3          | 0.0036%
3738   | يشكر                 | 3          | 0.0036%
3739   | مكرۭا                | 3          | 0.0036%
3740   | عينۢ                 | 3          | 0.0036%
3741   | شيعتهۦ               | 3          | 0.0036%
3742   | قتلت                 | 3          | 0.0036%
3743   | فاخذنه               | 3          | 0.0036%
3744   | اعرضوا۟              | 3          | 0.0036%
3745   | يليت                 | 3          | 0.0036%
3746   | يلقيها               | 3          | 0.0036%
3747   | وليعلمن              | 3          | 0.0036%
3748   | حسب                  | 3          | 0.0036%
3749   | ووصينا               | 3          | 0.0036%
3750   | يبدئ                 | 3          | 0.0036%
3751   | النشاه               | 3          | 0.0036%
3752   | يجحد                 | 3          | 0.0036%
3753   | ضرۭ                  | 3          | 0.0036%
3754   | كفرهۥ                | 3          | 0.0036%
3755   | مصفرۭا               | 3          | 0.0036%
3756   | فبشره                | 3          | 0.0036%
3757   | يعرج                 | 3          | 0.0036%
3758   | منتقمون              | 3          | 0.0036%
3759   | امهتهم               | 3          | 0.0036%
3760   | بصيرا                | 3          | 0.0036%
3761   | الادبر               | 3          | 0.0036%
3762   | فاحبط                | 3          | 0.0036%
3763   | اسوه                 | 3          | 0.0036%
3764   | زادهم                | 3          | 0.0036%
3765   | جميلۭا               | 3          | 0.0036%
3766   | امسك                 | 3          | 0.0036%
3767   | افاء                 | 3          | 0.0036%
3768   | يدريك                | 3          | 0.0036%
3769   | لعل                  | 3          | 0.0036%
3770   | وقدر                 | 3          | 0.0036%
3771   | وقليلۭ               | 3          | 0.0036%
3772   | جنتان                | 3          | 0.0036%
3773   | اروني                | 3          | 0.0036%
3774   | عملهۦ                | 3          | 0.0036%
3775   | تضع                  | 3          | 0.0036%
3776   | جميعۭ                | 3          | 0.0036%
3777   | الاجداث              | 3          | 0.0036%
3778   | بقدر                 | 3          | 0.0036%
3779   | اهم                  | 3          | 0.0036%
3780   | خلقنهم               | 3          | 0.0036%
3781   | مجنونۭ               | 3          | 0.0036%
3782   | قصرت                 | 3          | 0.0036%
3783   | الطرف                | 3          | 0.0036%
3784   | عينۭ                 | 3          | 0.0036%
3785   | البطون               | 3          | 0.0036%
3786   | منذرين               | 3          | 0.0036%
3787   | فراغ                 | 3          | 0.0036%
3788   | فكفروا۟              | 3          | 0.0036%
3789   | فتول                 | 3          | 0.0036%
3790   | اواب                 | 3          | 0.0036%
3791   | حميمۭ                | 3          | 0.0036%
3792   | الغفر                | 3          | 0.0036%
3793   | يعباد                | 3          | 0.0036%
3794   | جاءوها               | 3          | 0.0036%
3795   | خزنتها               | 3          | 0.0036%
3796   | ممنونۢ               | 3          | 0.0036%
3797   | امرها                | 3          | 0.0036%
3798   | الجمع                | 3          | 0.0036%
3799   | الجوار               | 3          | 0.0036%
3800   | بذلك                 | 3          | 0.0036%
3801   | يظهرون               | 3          | 0.0036%
3802   | يضحكون               | 3          | 0.0036%
3803   | يلقوا۟               | 3          | 0.0036%
3804   | مجنون                | 3          | 0.0036%
3805   | فكهين                | 3          | 0.0036%
3806   | يعرض                 | 3          | 0.0036%
3807   | وانهرۭ               | 3          | 0.0036%
3808   | حميمۭا               | 3          | 0.0036%
3809   | فاولي                | 3          | 0.0036%
3810   | يبخل                 | 3          | 0.0036%
3811   | جنود                 | 3          | 0.0036%
3812   | لتؤمنوا۟             | 3          | 0.0036%
3813   | فاصلحوا۟             | 3          | 0.0036%
3814   | لوقعۭ                | 3          | 0.0036%
3815   | تذر                  | 3          | 0.0036%
3816   | هنيۢا                | 3          | 0.0036%
3817   | لحكم                 | 3          | 0.0036%
3818   | والاولي              | 3          | 0.0036%
3819   | بالحسني              | 3          | 0.0036%
3820   | نطفه                 | 3          | 0.0036%
3821   | سيعلمون              | 3          | 0.0036%
3822   | الميزان              | 3          | 0.0036%
3823   | انسۭ                 | 3          | 0.0036%
3824   | الميمنه              | 3          | 0.0036%
3825   | المشمه               | 3          | 0.0036%
3826   | نعيمۢ                | 3          | 0.0036%
3827   | اجرۭ                 | 3          | 0.0036%
3828   | مسكينۭا              | 3          | 0.0036%
3829   | رزقهۥ                | 3          | 0.0036%
3830   | خشعه                 | 3          | 0.0036%
3831   | الحاقه               | 3          | 0.0036%
3832   | بقول                 | 3          | 0.0036%
3833   | للبشر                | 3          | 0.0036%
3834   | بالدين               | 3          | 0.0036%
3835   | يرهۥ                 | 3          | 0.0036%
3836   | القدر                | 3          | 0.0036%
3837   | القارعه              | 3          | 0.0036%
3838   | ويقيمون              | 2          | 0.0024%
3839   | ءانذرتهم             | 2          | 0.0024%
3840   | تنذرهم               | 2          | 0.0024%
3841   | غشوهۭ                | 2          | 0.0024%
3842   | فزادهم               | 2          | 0.0024%
3843   | مصلحون               | 2          | 0.0024%
3844   | لقوا۟                | 2          | 0.0024%
3845   | صمۢ                  | 2          | 0.0024%
3846   | عميۭ                 | 2          | 0.0024%
3847   | يجعلون               | 2          | 0.0024%
3848   | اصبعهم               | 2          | 0.0024%
3849   | الصوعق               | 2          | 0.0024%
3850   | حذر                  | 2          | 0.0024%
3851   | لذهب                 | 2          | 0.0024%
3852   | بناءۭ                | 2          | 0.0024%
3853   | ريبۢ                 | 2          | 0.0024%
3854   | بسورهۢ               | 2          | 0.0024%
3855   | شهداءكم              | 2          | 0.0024%
3856   | وقودها               | 2          | 0.0024%
3857   | والحجاره             | 2          | 0.0024%
3858   | واتوا۟               | 2          | 0.0024%
3859   | ازوجۭ                | 2          | 0.0024%
3860   | يستحيۦ               | 2          | 0.0024%
3861   | ميثقهۦ               | 2          | 0.0024%
3862   | ويقطعون              | 2          | 0.0024%
3863   | ويفسدون              | 2          | 0.0024%
3864   | خليفهۭ               | 2          | 0.0024%
3865   | وعلم                 | 2          | 0.0024%
3866   | باسمائهم             | 2          | 0.0024%
3867   | اسكن                 | 2          | 0.0024%
3868   | وزوجك                | 2          | 0.0024%
3869   | وكلا                 | 2          | 0.0024%
3870   | شئتما                | 2          | 0.0024%
3871   | تقربا                | 2          | 0.0024%
3872   | فتكونا               | 2          | 0.0024%
3873   | كانا                 | 2          | 0.0024%
3874   | فتلقي                | 2          | 0.0024%
3875   | تبع                  | 2          | 0.0024%
3876   | هداي                 | 2          | 0.0024%
3877   | فارهبون              | 2          | 0.0024%
3878   | الركعين              | 2          | 0.0024%
3879   | بالبر                | 2          | 0.0024%
3880   | وتنسون               | 2          | 0.0024%
3881   | وانها                | 2          | 0.0024%
3882   | لكبيره               | 2          | 0.0024%
3883   | فضلتكم               | 2          | 0.0024%
3884   | عدلۭ                 | 2          | 0.0024%
3885   | والفرقان             | 2          | 0.0024%
3886   | ظلمتم                | 2          | 0.0024%
3887   | بارئكم               | 2          | 0.0024%
3888   | فاقتلوا۟             | 2          | 0.0024%
3889   | جهرهۭ                | 2          | 0.0024%
3890   | وظللنا               | 2          | 0.0024%
3891   | الغمام               | 2          | 0.0024%
3892   | ظلمونا               | 2          | 0.0024%
3893   | رغدۭا                | 2          | 0.0024%
3894   | حطهۭ                 | 2          | 0.0024%
3895   | نغفر                 | 2          | 0.0024%
3896   | خطيكم                | 2          | 0.0024%
3897   | فبدل                 | 2          | 0.0024%
3898   | اثنتا                | 2          | 0.0024%
3899   | اناسۢ                | 2          | 0.0024%
3900   | مشربهم               | 2          | 0.0024%
3901   | رزق                  | 2          | 0.0024%
3902   | فادع                 | 2          | 0.0024%
3903   | وضربت                | 2          | 0.0024%
3904   | الذله                | 2          | 0.0024%
3905   | وباءو                | 2          | 0.0024%
3906   | والصبين              | 2          | 0.0024%
3907   | قرده                 | 2          | 0.0024%
3908   | خسين                 | 2          | 0.0024%
3909   | فجعلنها              | 2          | 0.0024%
3910   | نكلۭا                | 2          | 0.0024%
3911   | تؤمرون               | 2          | 0.0024%
3912   | لونها                | 2          | 0.0024%
3913   | تشبه                 | 2          | 0.0024%
3914   | لمهتدون              | 2          | 0.0024%
3915   | تسقي                 | 2          | 0.0024%
3916   | مسلمهۭ               | 2          | 0.0024%
3917   | مخرجۭ                | 2          | 0.0024%
3918   | ويريكم               | 2          | 0.0024%
3919   | قست                  | 2          | 0.0024%
3920   | خلا                  | 2          | 0.0024%
3921   | اماني                | 2          | 0.0024%
3922   | كتبت                 | 2          | 0.0024%
3923   | تمسنا                | 2          | 0.0024%
3924   | يردون                | 2          | 0.0024%
3925   | وايدنه               | 2          | 0.0024%
3926   | كذبتم                | 2          | 0.0024%
3927   | وفريقۭا              | 2          | 0.0024%
3928   | غلفۢ                 | 2          | 0.0024%
3929   | عرفوا۟               | 2          | 0.0024%
3930   | انۢبياء              | 2          | 0.0024%
3931   | وعصينا               | 2          | 0.0024%
3932   | فتمنوا۟              | 2          | 0.0024%
3933   | ابدۢا                | 2          | 0.0024%
3934   | نزلهۥ                | 2          | 0.0024%
3935   | وجبريل               | 2          | 0.0024%
3936   | يفرقون               | 2          | 0.0024%
3937   | اشتريه               | 2          | 0.0024%
3938   | يختص                 | 2          | 0.0024%
3939   | برحمتهۦ              | 2          | 0.0024%
3940   | رسولكم               | 2          | 0.0024%
3941   | ود                   | 2          | 0.0024%
3942   | تجدوه                | 2          | 0.0024%
3943   | ليست                 | 2          | 0.0024%
3944   | وسعي                 | 2          | 0.0024%
3945   | يدخلوها              | 2          | 0.0024%
3946   | قنتون                | 2          | 0.0024%
3947   | بديع                 | 2          | 0.0024%
3948   | ترضي                 | 2          | 0.0024%
3949   | ملتهم                | 2          | 0.0024%
3950   | ابتلي                | 2          | 0.0024%
3951   | ينال                 | 2          | 0.0024%
3952   | للطائفين             | 2          | 0.0024%
3953   | والركع               | 2          | 0.0024%
3954   | يرفع                 | 2          | 0.0024%
3955   | القواعد              | 2          | 0.0024%
3956   | واجعلنا              | 2          | 0.0024%
3957   | وتب                  | 2          | 0.0024%
3958   | وابعث                | 2          | 0.0024%
3959   | اسلمت                | 2          | 0.0024%
3960   | تموتن                | 2          | 0.0024%
3961   | الهك                 | 2          | 0.0024%
3962   | واله                 | 2          | 0.0024%
3963   | تهتدوا۟              | 2          | 0.0024%
3964   | قولوا۟               | 2          | 0.0024%
3965   | النبيون              | 2          | 0.0024%
3966   | قبلتهم               | 2          | 0.0024%
3967   | جعلنكم               | 2          | 0.0024%
3968   | لتكونوا۟             | 2          | 0.0024%
3969   | قبلهۭ                | 2          | 0.0024%
3970   | وحيث                 | 2          | 0.0024%
3971   | فولوا۟               | 2          | 0.0024%
3972   | شطرهۥ                | 2          | 0.0024%
3973   | بتابعۢ               | 2          | 0.0024%
3974   | يعرفونهۥ             | 2          | 0.0024%
3975   | خرجت                 | 2          | 0.0024%
3976   | حجه                  | 2          | 0.0024%
3977   | تخشوهم               | 2          | 0.0024%
3978   | استعينوا۟            | 2          | 0.0024%
3979   | احياءۭ               | 2          | 0.0024%
3980   | ولنبلونكم            | 2          | 0.0024%
3981   | ونقصۢ                | 2          | 0.0024%
3982   | اصبتهم               | 2          | 0.0024%
3983   | حج                   | 2          | 0.0024%
3984   | يطوف                 | 2          | 0.0024%
3985   | تطوع                 | 2          | 0.0024%
3986   | بينه                 | 2          | 0.0024%
3987   | والهكم               | 2          | 0.0024%
3988   | والفلك               | 2          | 0.0024%
3989   | وتصريف               | 2          | 0.0024%
3990   | تبرا                 | 2          | 0.0024%
3991   | حسرت                 | 2          | 0.0024%
3992   | بخرجين               | 2          | 0.0024%
3993   | والفحشاء             | 2          | 0.0024%
3994   | يزكيهم               | 2          | 0.0024%
3995   | حبهۦ                 | 2          | 0.0024%
3996   | ذوي                  | 2          | 0.0024%
3997   | الباساء              | 2          | 0.0024%
3998   | الباس                | 2          | 0.0024%
3999   | القصاص               | 2          | 0.0024%
4000   | بالانثي              | 2          | 0.0024%
4001   | الوصيه               | 2          | 0.0024%
4002   | فعدهۭ                | 2          | 0.0024%
4003   | اخر                  | 2          | 0.0024%
4004   | العده                | 2          | 0.0024%
4005   | دعوه                 | 2          | 0.0024%
4006   | فليستجيبوا۟          | 2          | 0.0024%
4007   | لباسۭ                | 2          | 0.0024%
4008   | الخيط                | 2          | 0.0024%
4009   | عكفون                | 2          | 0.0024%
4010   | لتاكلوا۟             | 2          | 0.0024%
4011   | ظهورها               | 2          | 0.0024%
4012   | ثقفتموهم             | 2          | 0.0024%
4013   | والفتنه              | 2          | 0.0024%
4014   | تقتلوهم              | 2          | 0.0024%
4015   | قتلوكم               | 2          | 0.0024%
4016   | وقتلوهم              | 2          | 0.0024%
4017   | عدون                 | 2          | 0.0024%
4018   | قصاصۭ                | 2          | 0.0024%
4019   | بايديكم              | 2          | 0.0024%
4020   | واحسنوا۟             | 2          | 0.0024%
4021   | استيسر               | 2          | 0.0024%
4022   | رءوسكم               | 2          | 0.0024%
4023   | محلهۥ                | 2          | 0.0024%
4024   | تمتع                 | 2          | 0.0024%
4025   | رجعتم                | 2          | 0.0024%
4026   | كاملهۭ               | 2          | 0.0024%
4027   | يعلمه                | 2          | 0.0024%
4028   | تبتغوا۟              | 2          | 0.0024%
4029   | افضتم                | 2          | 0.0024%
4030   | افيضوا۟              | 2          | 0.0024%
4031   | قضيتم                | 2          | 0.0024%
4032   | وقنا                 | 2          | 0.0024%
4033   | تاخر                 | 2          | 0.0024%
4034   | قلبهۦ                | 2          | 0.0024%
4035   | الخصام               | 2          | 0.0024%
4036   | اتق                  | 2          | 0.0024%
4037   | اخذته                | 2          | 0.0024%
4038   | رءوفۢ                | 2          | 0.0024%
4039   | ظللۢ                 | 2          | 0.0024%
4040   | ويسخرون              | 2          | 0.0024%
4041   | فبعث                 | 2          | 0.0024%
4042   | مستقيم               | 2          | 0.0024%
4043   | وزلزلوا۟             | 2          | 0.0024%
4044   | وعسي                 | 2          | 0.0024%
4045   | وصد                  | 2          | 0.0024%
4046   | والمسجد              | 2          | 0.0024%
4047   | يزالون               | 2          | 0.0024%
4048   | دينهۦ                | 2          | 0.0024%
4049   | اثمۭ                 | 2          | 0.0024%
4050   | العفو                | 2          | 0.0024%
4051   | اعجبتكم              | 2          | 0.0024%
4052   | مؤمن                 | 2          | 0.0024%
4053   | ويبين                | 2          | 0.0024%
4054   | حرثكم                | 2          | 0.0024%
4055   | الطلق                | 2          | 0.0024%
4056   | يتربصن               | 2          | 0.0024%
4057   | بانفسهن              | 2          | 0.0024%
4058   | اصلحۭا               | 2          | 0.0024%
4059   | ولهن                 | 2          | 0.0024%
4060   | تاخذوا۟              | 2          | 0.0024%
4061   | يتعد                 | 2          | 0.0024%
4062   | طلقها                | 2          | 0.0024%
4063   | تحل                  | 2          | 0.0024%
4064   | ظنا                  | 2          | 0.0024%
4065   | فبلغن                | 2          | 0.0024%
4066   | ضرارۭا               | 2          | 0.0024%
4067   | تعضلوهن              | 2          | 0.0024%
4068   | ترضوا۟               | 2          | 0.0024%
4069   | يوعظ                 | 2          | 0.0024%
4070   | واطهر                | 2          | 0.0024%
4071   | اولدهن               | 2          | 0.0024%
4072   | تكلف                 | 2          | 0.0024%
4073   | تراضۢ                | 2          | 0.0024%
4074   | يتوفون               | 2          | 0.0024%
4075   | بلغن                 | 2          | 0.0024%
4076   | فعلن                 | 2          | 0.0024%
4077   | انفسهن               | 2          | 0.0024%
4078   | عقده                 | 2          | 0.0024%
4079   | قدرهۥ                | 2          | 0.0024%
4080   | طلقتموهن             | 2          | 0.0024%
4081   | فرضتم                | 2          | 0.0024%
4082   | وصيهۭ                | 2          | 0.0024%
4083   | متعا                 | 2          | 0.0024%
4084   | معروفۢ               | 2          | 0.0024%
4085   | متعۢ                 | 2          | 0.0024%
4086   | موتوا۟               | 2          | 0.0024%
4087   | يقرض                 | 2          | 0.0024%
4088   | فيضعفهۥ              | 2          | 0.0024%
4089   | نقتل                 | 2          | 0.0024%
4090   | عسيتم                | 2          | 0.0024%
4091   | نبيهم                | 2          | 0.0024%
4092   | طالوت                | 2          | 0.0024%
4093   | ملكهۥ                | 2          | 0.0024%
4094   | التابوت              | 2          | 0.0024%
4095   | طاقه                 | 2          | 0.0024%
4096   | وجنودهۦ              | 2          | 0.0024%
4097   | برزوا۟               | 2          | 0.0024%
4098   | وثبت                 | 2          | 0.0024%
4099   | وانصرنا              | 2          | 0.0024%
4100   | وقتل                 | 2          | 0.0024%
4101   | دفع                  | 2          | 0.0024%
4102   | لفسدت                | 2          | 0.0024%
4103   | اقتتلوا۟             | 2          | 0.0024%
4104   | بيعۭ                 | 2          | 0.0024%
4105   | يحيطون               | 2          | 0.0024%
4106   | استمسك               | 2          | 0.0024%
4107   | بالعروه              | 2          | 0.0024%
4108   | الوثقي               | 2          | 0.0024%
4109   | اولياؤهم             | 2          | 0.0024%
4110   | ارني                 | 2          | 0.0024%
4111   | اربعهۭ               | 2          | 0.0024%
4112   | معروفۭ               | 2          | 0.0024%
4113   | تبطلوا۟              | 2          | 0.0024%
4114   | رئاء                 | 2          | 0.0024%
4115   | فمثلهۥ               | 2          | 0.0024%
4116   | فاتت                 | 2          | 0.0024%
4117   | تنفقون               | 2          | 0.0024%
4118   | حميد                 | 2          | 0.0024%
4119   | نفقه                 | 2          | 0.0024%
4120   | يوف                  | 2          | 0.0024%
4121   | واحل                 | 2          | 0.0024%
4122   | تبتم                 | 2          | 0.0024%
4123   | رءوس                 | 2          | 0.0024%
4124   | توفي                 | 2          | 0.0024%
4125   | ياب                  | 2          | 0.0024%
4126   | يكتب                 | 2          | 0.0024%
4127   | علمه                 | 2          | 0.0024%
4128   | وليتق                | 2          | 0.0024%
4129   | ضعيفا                | 2          | 0.0024%
4130   | يستطيع               | 2          | 0.0024%
4131   | رجالكم               | 2          | 0.0024%
4132   | الشهداء              | 2          | 0.0024%
4133   | تضل                  | 2          | 0.0024%
4134   | كبيرا                | 2          | 0.0024%
4135   | اقسط                 | 2          | 0.0024%
4136   | الشهده               | 2          | 0.0024%
4137   | رسلهۦ                | 2          | 0.0024%
4138   | يكلف                 | 2          | 0.0024%
4139   | قبلنا                | 2          | 0.0024%
4140   | مولينا               | 2          | 0.0024%
4141   | انتقام               | 2          | 0.0024%
4142   | فيتبعون              | 2          | 0.0024%
4143   | وابتغاء              | 2          | 0.0024%
4144   | جامع                 | 2          | 0.0024%
4145   | فئتين                | 2          | 0.0024%
4146   | حب                   | 2          | 0.0024%
4147   | الذهب                | 2          | 0.0024%
4148   | والفضه               | 2          | 0.0024%
4149   | والخيل               | 2          | 0.0024%
4150   | حسن                  | 2          | 0.0024%
4151   | والصدقين             | 2          | 0.0024%
4152   | والقنتين             | 2          | 0.0024%
4153   | وجهي                 | 2          | 0.0024%
4154   | ووفيت                | 2          | 0.0024%
4155   | تؤتي                 | 2          | 0.0024%
4156   | بيدك                 | 2          | 0.0024%
4157   | وتخرج                | 2          | 0.0024%
4158   | تتقوا۟               | 2          | 0.0024%
4159   | ويحذركم              | 2          | 0.0024%
4160   | بينها                | 2          | 0.0024%
4161   | فاتبعوني             | 2          | 0.0024%
4162   | نذرت                 | 2          | 0.0024%
4163   | فتقبل                | 2          | 0.0024%
4164   | وضعتها               | 2          | 0.0024%
4165   | الرجيم               | 2          | 0.0024%
4166   | دخل                  | 2          | 0.0024%
4167   | طيبه                 | 2          | 0.0024%
4168   | قائمۭ                | 2          | 0.0024%
4169   | يبشرك                | 2          | 0.0024%
4170   | بكلمهۢ               | 2          | 0.0024%
4171   | والابكر              | 2          | 0.0024%
4172   | نساء                 | 2          | 0.0024%
4173   | لربك                 | 2          | 0.0024%
4174   | نوحيه                | 2          | 0.0024%
4175   | وجيهۭا               | 2          | 0.0024%
4176   | وكهلۭا               | 2          | 0.0024%
4177   | يمسسني               | 2          | 0.0024%
4178   | والتوريه             | 2          | 0.0024%
4179   | كهيه                 | 2          | 0.0024%
4180   | طيرۢا                | 2          | 0.0024%
4181   | الاكمه               | 2          | 0.0024%
4182   | والابرص              | 2          | 0.0024%
4183   | ومصدقۭا              | 2          | 0.0024%
4184   | انصاري               | 2          | 0.0024%
4185   | واشهد                | 2          | 0.0024%
4186   | بانا                 | 2          | 0.0024%
4187   | فاكتبنا              | 2          | 0.0024%
4188   | المكرين              | 2          | 0.0024%
4189   | فيوفيهم              | 2          | 0.0024%
4190   | بالمفسدين            | 2          | 0.0024%
4191   | كلمهۢ                | 2          | 0.0024%
4192   | اربابۭا              | 2          | 0.0024%
4193   | فقولوا۟              | 2          | 0.0024%
4194   | اشهدوا۟              | 2          | 0.0024%
4195   | تحاجون               | 2          | 0.0024%
4196   | مسلمۭا               | 2          | 0.0024%
4197   | بيد                  | 2          | 0.0024%
4198   | تامنه                | 2          | 0.0024%
4199   | يؤدهۦ                | 2          | 0.0024%
4200   | الاميۦن              | 2          | 0.0024%
4201   | بعهدهۦ               | 2          | 0.0024%
4202   | واتقي                | 2          | 0.0024%
4203   | عبادۭا               | 2          | 0.0024%
4204   | تدرسون               | 2          | 0.0024%
4205   | فاشهدوا۟             | 2          | 0.0024%
4206   | طوعۭا                | 2          | 0.0024%
4207   | وكرهۭا               | 2          | 0.0024%
4208   | ازدادوا۟             | 2          | 0.0024%
4209   | فاتبعوا۟             | 2          | 0.0024%
4210   | مباركۭا              | 2          | 0.0024%
4211   | بينتۭ                | 2          | 0.0024%
4212   | وفيكم                | 2          | 0.0024%
4213   | فاصبحتم              | 2          | 0.0024%
4214   | شفا                  | 2          | 0.0024%
4215   | وتؤمنون              | 2          | 0.0024%
4216   | الادبار              | 2          | 0.0024%
4217   | ثقفوا۟               | 2          | 0.0024%
4218   | ليسوا۟               | 2          | 0.0024%
4219   | ءاناء                | 2          | 0.0024%
4220   | يفعلوا۟              | 2          | 0.0024%
4221   | بالمتقين             | 2          | 0.0024%
4222   | خبالۭا               | 2          | 0.0024%
4223   | عنتم                 | 2          | 0.0024%
4224   | بدت                  | 2          | 0.0024%
4225   | او۟لاء               | 2          | 0.0024%
